fips_code,county,state,customers_out,run_start_time
09001,Fairfield,Connecticut,42,2019-01-01 19:45:00
09003,Hartford,Connecticut,14,2019-01-01 19:45:00
09005,Litchfield,Connecticut,351,2019-01-01 19:45:00
09007,Middlesex,Connecticut,99,2019-01-01 19:45:00
09009,New Haven,Connecticut,11,2019-01-01 19:45:00
09011,New London,Connecticut,37,2019-01-01 19:45:00
09013,Tolland,Connecticut,4,2019-01-01 19:45:00
09015,Windham,Connecticut,2,2019-01-01 19:45:00
09001,Fairfield,Connecticut,48,2019-01-01 20:00:00
09003,Hartford,Connecticut,62,2019-01-01 20:00:00
09005,Litchfield,Connecticut,355,2019-01-01 20:00:00
09007,Middlesex,Connecticut,99,2019-01-01 20:00:00
09009,New Haven,Connecticut,11,2019-01-01 20:00:00
09011,New London,Connecticut,12,2019-01-01 20:00:00
09013,Tolland,Connecticut,4,2019-01-01 20:00:00
09015,Windham,Connecticut,2,2019-01-01 20:00:00
09001,Fairfield,Connecticut,56,2019-01-01 20:15:00
09003,Hartford,Connecticut,63,2019-01-01 20:15:00
09005,Litchfield,Connecticut,244,2019-01-01 20:15:00
09007,Middlesex,Connecticut,99,2019-01-01 20:15:00
09009,New Haven,Connecticut,11,2019-01-01 20:15:00
09011,New London,Connecticut,22,2019-01-01 20:15:00
09013,Tolland,Connecticut,4,2019-01-01 20:15:00
09015,Windham,Connecticut,2,2019-01-01 20:15:00
09001,Fairfield,Connecticut,56,2019-01-01 20:30:00
09003,Hartford,Connecticut,62,2019-01-01 20:30:00
09005,Litchfield,Connecticut,244,2019-01-01 20:30:00
09007,Middlesex,Connecticut,1,2019-01-01 20:30:00
09009,New Haven,Connecticut,12,2019-01-01 20:30:00
09011,New London,Connecticut,28,2019-01-01 20:30:00
09013,Tolland,Connecticut,4,2019-01-01 20:30:00
09015,Windham,Connecticut,192,2019-01-01 20:30:00
09001,Fairfield,Connecticut,56,2019-01-01 20:45:00
09003,Hartford,Connecticut,62,2019-01-01 20:45:00
09005,Litchfield,Connecticut,99,2019-01-01 20:45:00
09007,Middlesex,Connecticut,1,2019-01-01 20:45:00
09009,New Haven,Connecticut,12,2019-01-01 20:45:00
09011,New London,Connecticut,27,2019-01-01 20:45:00
09013,Tolland,Connecticut,4,2019-01-01 20:45:00
09015,Windham,Connecticut,193,2019-01-01 20:45:00
09001,Fairfield,Connecticut,76,2019-01-01 21:00:00
09003,Hartford,Connecticut,12,2019-01-01 21:00:00
09005,Litchfield,Connecticut,88,2019-01-01 21:00:00
09007,Middlesex,Connecticut,1,2019-01-01 21:00:00
09009,New Haven,Connecticut,15,2019-01-01 21:00:00
09011,New London,Connecticut,27,2019-01-01 21:00:00
09013,Tolland,Connecticut,4,2019-01-01 21:00:00
09015,Windham,Connecticut,194,2019-01-01 21:00:00
09001,Fairfield,Connecticut,46,2019-01-01 21:15:00
09003,Hartford,Connecticut,26,2019-01-01 21:15:00
09005,Litchfield,Connecticut,74,2019-01-01 21:15:00
09007,Middlesex,Connecticut,1,2019-01-01 21:15:00
09009,New Haven,Connecticut,15,2019-01-01 21:15:00
09011,New London,Connecticut,27,2019-01-01 21:15:00
09015,Windham,Connecticut,193,2019-01-01 21:15:00
09001,Fairfield,Connecticut,44,2019-01-01 21:30:00
09003,Hartford,Connecticut,26,2019-01-01 21:30:00
09005,Litchfield,Connecticut,75,2019-01-01 21:30:00
09007,Middlesex,Connecticut,3,2019-01-01 21:30:00
09009,New Haven,Connecticut,16,2019-01-01 21:30:00
09011,New London,Connecticut,10,2019-01-01 21:30:00
09013,Tolland,Connecticut,1,2019-01-01 21:30:00
09015,Windham,Connecticut,275,2019-01-01 21:30:00
09001,Fairfield,Connecticut,27,2019-01-01 21:45:00
09003,Hartford,Connecticut,19,2019-01-01 21:45:00
09005,Litchfield,Connecticut,58,2019-01-01 21:45:00
09007,Middlesex,Connecticut,3,2019-01-01 21:45:00
09009,New Haven,Connecticut,15,2019-01-01 21:45:00
09011,New London,Connecticut,10,2019-01-01 21:45:00
09013,Tolland,Connecticut,34,2019-01-01 21:45:00
09015,Windham,Connecticut,275,2019-01-01 21:45:00
09001,Fairfield,Connecticut,27,2019-01-01 22:00:00
09003,Hartford,Connecticut,20,2019-01-01 22:00:00
09005,Litchfield,Connecticut,58,2019-01-01 22:00:00
09007,Middlesex,Connecticut,3,2019-01-01 22:00:00
09009,New Haven,Connecticut,15,2019-01-01 22:00:00
09011,New London,Connecticut,10,2019-01-01 22:00:00
09013,Tolland,Connecticut,35,2019-01-01 22:00:00
09015,Windham,Connecticut,193,2019-01-01 22:00:00
09001,Fairfield,Connecticut,26,2019-01-01 22:15:00
09003,Hartford,Connecticut,4,2019-01-01 22:15:00
09005,Litchfield,Connecticut,57,2019-01-01 22:15:00
09007,Middlesex,Connecticut,3,2019-01-01 22:15:00
09009,New Haven,Connecticut,15,2019-01-01 22:15:00
09011,New London,Connecticut,10,2019-01-01 22:15:00
09013,Tolland,Connecticut,60,2019-01-01 22:15:00
09015,Windham,Connecticut,5,2019-01-01 22:15:00
09001,Fairfield,Connecticut,26,2019-01-01 22:30:00
09003,Hartford,Connecticut,4,2019-01-01 22:30:00
09005,Litchfield,Connecticut,65,2019-01-01 22:30:00
09009,New Haven,Connecticut,6,2019-01-01 22:30:00
09011,New London,Connecticut,10,2019-01-01 22:30:00
09013,Tolland,Connecticut,61,2019-01-01 22:30:00
09015,Windham,Connecticut,5,2019-01-01 22:30:00
09001,Fairfield,Connecticut,26,2019-01-01 22:45:00
09003,Hartford,Connecticut,4,2019-01-01 22:45:00
09005,Litchfield,Connecticut,65,2019-01-01 22:45:00
09009,New Haven,Connecticut,6,2019-01-01 22:45:00
09011,New London,Connecticut,10,2019-01-01 22:45:00
09013,Tolland,Connecticut,61,2019-01-01 22:45:00
09015,Windham,Connecticut,5,2019-01-01 22:45:00
09001,Fairfield,Connecticut,23,2019-01-01 23:00:00
09003,Hartford,Connecticut,5,2019-01-01 23:00:00
09005,Litchfield,Connecticut,65,2019-01-01 23:00:00
09009,New Haven,Connecticut,7,2019-01-01 23:00:00
09013,Tolland,Connecticut,61,2019-01-01 23:00:00
09015,Windham,Connecticut,5,2019-01-01 23:00:00
09001,Fairfield,Connecticut,25,2019-01-01 23:15:00
09003,Hartford,Connecticut,4,2019-01-01 23:15:00
09005,Litchfield,Connecticut,64,2019-01-01 23:15:00
09009,New Haven,Connecticut,7,2019-01-01 23:15:00
09013,Tolland,Connecticut,36,2019-01-01 23:15:00
09015,Windham,Connecticut,6,2019-01-01 23:15:00
09001,Fairfield,Connecticut,25,2019-01-01 23:30:00
09003,Hartford,Connecticut,4,2019-01-01 23:30:00
09005,Litchfield,Connecticut,64,2019-01-01 23:30:00
09009,New Haven,Connecticut,3,2019-01-01 23:30:00
09013,Tolland,Connecticut,36,2019-01-01 23:30:00
09015,Windham,Connecticut,6,2019-01-01 23:30:00
09001,Fairfield,Connecticut,25,2019-01-01 23:45:00
09003,Hartford,Connecticut,4,2019-01-01 23:45:00
09005,Litchfield,Connecticut,64,2019-01-01 23:45:00
09009,New Haven,Connecticut,3,2019-01-01 23:45:00
09013,Tolland,Connecticut,36,2019-01-01 23:45:00
09015,Windham,Connecticut,6,2019-01-01 23:45:00
